timestamp,position,tc_temp,internal_temp
908034,1529,994.75,22.56
908144,1528,994.25,22.56
908252,1527,991.5,22.56
908361,1526,988.5,22.56
908470,1525,988.25,22.56
908579,1524,983.75,22.56
908687,1523,983.25,22.56
908795,1522,978.75,22.56
908903,1521,977.0,22.56
909011,1520,974.25,22.56
909120,1519,973.0,22.56
909228,1518,970.5,22.56
909337,1517,969.0,22.56
909446,1516,967.75,22.56
909554,1515,964.75,22.56
909663,1514,963.5,22.62
909770,1513,962.0,22.56
909878,1512,959.25,22.56
909986,1511,959.0,22.56
910094,1510,956.5,22.62
910202,1509,954.5,22.56
910311,1508,955.0,22.62
910419,1507,951.75,22.56
910527,1506,952.0,22.56
910636,1505,949.5,22.62
910744,1504,947.5,22.56
910853,1503,948.0,22.62
910962,1502,945.75,22.56
911070,1501,946.5,22.56
911179,1500,943.75,22.5
911287,1499,943.0,22.56
911395,1498,941.25,22.56
911504,1497,940.5,22.56
911613,1496,940.75,22.56
911721,1495,939.25,22.56
911830,1494,939.75,22.56
911939,1493,937.25,22.56
912047,1492,936.5,22.56
912155,1491,936.75,22.56
912263,1490,934.25,22.56
912371,1489,934.25,22.56
912478,1488,932.0,22.5
912587,1487,930.75,22.56
912695,1486,931.25,22.56
912803,1485,929.0,22.56
912912,1484,929.5,22.56
913021,1483,927.0,22.56
913129,1482,926.25,22.56
913237,1481,927.0,22.62
913345,1480,924.75,22.56
913454,1479,925.75,22.56
913562,1478,924.75,22.62
913670,1477,924.5,22.56
913778,1476,924.0,22.56
913886,1475,924.0,22.56
913994,1474,925.25,22.56
914103,1473,923.25,22.56
914211,1472,924.5,22.56
914319,1471,923.0,22.56
914427,1470,923.25,22.56
914535,1469,925.75,22.56
914643,1468,925.25,22.56
914752,1467,928.0,22.56
914861,1466,927.25,22.56
914969,1465,929.0,22.56
915078,1464,930.5,22.62
915187,1463,929.5,22.56
915295,1462,931.0,22.56
915403,1461,930.25,22.56
915512,1460,930.0,22.5
915620,1459,931.5,22.56
915728,1458,929.25,22.56
915836,1457,929.75,22.56
915945,1456,928.5,22.56
916054,1455,928.0,22.56
916162,1454,927.5,22.56
916270,1453,927.5,22.56
916379,1452,929.25,22.56
916487,1451,928.5,22.56
916595,1450,929.75,22.56
916704,1449,928.5,22.56
916812,1448,929.0,22.56
916920,1447,930.75,22.56
917028,1446,930.0,22.56
917137,1445,932.0,22.56
917245,1444,931.25,22.62
917353,1443,932.5,22.56
917462,1442,934.0,22.56
917570,1441,932.25,22.56
917678,1440,933.0,22.56
917786,1439,932.0,22.56
917895,1438,932.5,22.56
918003,1437,934.75,22.56
918111,1436,934.75,22.56
918220,1435,935.0,22.56
918329,1434,935.5,22.56
918437,1433,935.75,22.56
918544,1432,935.5,22.56
918653,1431,934.5,22.62
918762,1430,933.75,22.56
918869,1429,931.75,22.56
918977,1428,931.0,22.56
919086,1427,928.75,22.56
919196,1426,927.0,22.56
919305,1425,927.5,22.56
919413,1424,925.0,22.56
919521,1423,925.25,22.56
919629,1422,923.75,22.5
919737,1421,921.75,22.56
919845,1420,922.75,22.56
919953,1419,919.75,22.56
920061,1418,919.25,22.56
920169,1417,916.75,22.62
920278,1416,915.5,22.56
920386,1415,913.25,22.56
920495,1414,912.0,22.56
920603,1413,911.0,22.56
920712,1412,910.75,22.56
920819,1411,910.5,22.62
920927,1410,910.25,22.56
921035,1409,910.25,22.56
921144,1408,911.5,22.56
921253,1407,909.5,22.56
921361,1406,906.5,22.56
921470,1405,903.75,22.56
921578,1404,899.0,22.56
921686,1403,898.75,22.56
921795,1402,895.5,22.56
921903,1401,889.75,22.56
922012,1400,887.75,22.56
922122,1399,881.5,22.56
922231,1398,879.75,22.56
922339,1397,872.5,22.5
922448,1396,869.25,22.56
922556,1395,859.0,22.56
922664,1394,852.75,22.56
922772,1393,839.75,22.56
922881,1392,832.25,22.56
922989,1391,821.75,22.56
923098,1390,815.75,22.56
923206,1389,811.75,22.56
923314,1388,804.0,22.56
923423,1387,799.0,22.56
923532,1386,791.5,22.5
923640,1385,786.0,22.5
923748,1384,781.0,22.5
923856,1383,777.0,22.56
923964,1382,768.75,22.56
924073,1381,767.25,22.56
924182,1380,760.25,22.56
924291,1379,756.0,22.56
924399,1378,751.5,22.56
924507,1377,741.5,22.56
924615,1376,738.75,22.56
924722,1375,731.5,22.56
924832,1374,727.0,22.56
924941,1373,719.0,22.56
